frame_index,time_s,detected,wrist_x,wrist_y,wrist_z,palm_axis_angle_rad,pour_angle_rad,palm_axis_x,palm_axis_y,palm_axis_z,wrist_to_middle_x,wrist_to_middle_y,wrist_to_middle_z,palm_normal_x,palm_normal_y,palm_normal_z,wrist_x_smooth,wrist_y_smooth,wrist_z_smooth,palm_axis_angle_rad_smooth,pour_angle_rad_smooth,palm_axis_x_smooth,palm_axis_y_smooth,palm_axis_z_smooth,palm_normal_x_smooth,palm_normal_y_smooth,palm_normal_z_smooth
0,0.0,True,0.5935949683189392,0.5325465202331543,-2.8178732236483484e-07,-1.5900234904752033,-1.560816786040914,-0.018497964830767932,-0.9619559918456101,-0.27257750283075116,0.00984279384530649,-0.9862645319841112,0.1648799331619248,-0.9998125978684148,0.019353702749594956,-0.00045092515107305025,0.5936027566591898,0.5331961711247762,-2.0776588864161263e-07,-1.5164447998368165,-1.5812459086853634,0.05211208436640915,-0.9583405982134025,-0.2760979466531433,-0.9754520001866828,-0.0011043532296341138,-0.1755863595483609
1,0.03427382297551789,True,0.5935483574867249,0.5335630178451538,-1.8673719637263275e-07,-1.4650525395282321,-1.5945317837189799,0.10135940262931174,-0.9549622869592759,-0.2788786510010017,-0.023338021089147603,-0.9830709531855656,0.18173287477632105,-0.9495388373180615,-0.009228020550758442,-0.31351369995803813,0.5939942449331284,0.5347971022129059,-1.9690932973048803e-07,-1.5135297283558353,-1.5830432712147713,0.05469594582516872,-0.9549131712048254,-0.2876079197303898,-0.9775915269672875,-0.0019104684229231087,-0.1762047742123059
2,0.06854764595103578,True,0.5936649441719055,0.5334789752960205,-1.5477314718737034e-07,-1.4942583695070142,-1.588389156296197,0.07347481530068362,-0.9581035158353214,-0.2768376861276771,-0.0170344221296662,-0.9681594802107929,0.24975397762733534,-0.9770045653735718,-0.013438741887738855,-0.2127944535359716,0.5943939447402954,0.5362165451049805,-1.9545272778032086e-07,-1.511571635318846,-1.5843253335680876,0.05655620280490696,-0.9545182964759361,-0.2893525158751046,-0.9774648078679886,-0.0013765325374088043,-0.18364994064360712
3,0.10282146892655367,True,0.5951687097549438,0.5395998954772949,-1.6433965299711417e-07,-1.5047845139128917,-1.5884353588029951,0.062447530201447436,-0.9446308901790945,-0.32213783896212933,-0.01696126707532154,-0.9614761142915379,0.27436471541735336,-0.9840101073091019,-0.004328814002790093,-0.17806001820414086,0.5947565078735352,0.5382572293281556,-1.7505569189779634e-07,-1.4782124144885997,-1.5925567337279507,0.08822148939807115,-0.9502588218198218,-0.29667854272162997,-0.9648983112606274,-0.010191787243339172,-0.2532611354861526
4,0.13709529190207156,True,0.5959927439689636,0.5418943166732788,-1.8962631997965218e-07,-1.5037392631708881,-1.5894535829813525,0.0639972307238599,-0.9529387975603786,-0.2963309004539637,-0.018307939683231963,-0.9811633158256905,0.19231060039033607,-0.9769579314707935,0.0007592110046484129,-0.213430606368812,0.5951859831809998,0.5403918504714966,-1.7165641850169777e-07,-1.4725459374627816,-1.5948998250072894,0.09292608322709463,-0.9444344797820946,-0.3122396528285255,-0.9662301956173946,-0.011622646743023695,-0.24901060125132948
5,0.17136911487758946,True,0.5954077839851379,0.5427499413490295,-1.798021429522123e-07,-1.4232273863239722,-1.6019737868402282,0.13982846813505298,-0.9406586185650385,-0.309207637063378,-0.030509453154708047,-0.9782569542534458,0.20514020747521,-0.9369801148316088,-0.024722570780056893,-0.3485068993638004,0.595817768573761,0.5433820009231567,-1.752262960508233e-07,-1.468934023249083,-1.594166295236651,0.09577844873970395,-0.9377547126226904,-0.3309595062208991,-0.9669494827994244,-0.011882692804097336,-0.24554362222931916
6,0.20564293785310733,True,0.5956957340240479,0.5442361235618591,-1.6974082939213986e-07,-1.436720154399141,-1.606247240115675,0.12488237177442917,-0.9258405767706397,-0.3566842015354794,-0.034477503496722094,-0.9721345843887998,0.2318742150129007,-0.956198259101897,-0.01638231804918106,-0.2922610287839226,0.5962298154830933,0.5450454711914062,-1.8269229542511312e-07,-1.4720641494383546,-1.584893912265118,0.09256571407851874,-0.9328775771928083,-0.34424867683544635,-0.9693757565425383,-0.013736615456992817,-0.22727202518031656
7,0.23991676082862523,True,0.5968238711357117,0.5484297275543213,-1.7262253493299795e-07,-1.4761987984385236,-1.584721507443005,0.08773664286373027,-0.924704680038301,-0.37043695308954505,-0.013390573019195245,-0.9615464116001753,0.274315859718398,-0.9806010012837205,-0.014738972193107045,-0.19545955842591978,0.5965523838996887,0.548261034488678,-1.8620107766764704e-07,-1.4746206945214475,-1.5713450993083602,0.08909216897580162,-0.9139499877866573,-0.38718725969119533,-0.9736933536470371,-0.01912792820642944,-0.1940087492630618
8,0.27419058380414313,True,0.5972289443016052,0.5479172468185425,-2.0166964986856328e-07,-1.5204351448592484,-1.5420734439453294,0.04638385689552138,-0.9202452130296841,-0.3885836920348654,0.028346698666738713,-0.9866315650297903,0.1604824587347909,-0.9961414760246714,-0.013598427267267505,-0.08670203295912803,0.5973674416542053,0.554239010810852,-1.9173573093667073e-07,-1.4956408530179748,-1.5595753205386897,0.06833456153243882,-0.8954454467478561,-0.43105600799275895,-0.9860509539270964,-0.016687034064739138,-0.13391059211846873
9,0.308464406779661,True,0.5976055860519409,0.5579721331596375,-2.071702311923218e-07,-1.5165219885863521,-1.5217095181975628,0.04662950521027432,-0.8583008505296237,-0.5110238147327085,0.04819209399764301,-0.9809841510116317,0.18800962087114192,-0.9985459169932882,-0.026197352742534676,-0.04711422678253816,0.597711980342865,0.5603856086730957,-1.9688379211402206e-07,-1.538299876491811,-1.540050361373816,0.030615510239682252,-0.8707933523547842,-0.4783456139268461,-0.9934269335359198,-0.014966011170095,-0.05201885658481953
